step,gs0,gs1,gs2,
353,962,958,957,
354,962,958,957,
355,962,958,957,
356,962,959,956,
357,962,959,956,
358,962,957,956,
359,962,957,956,
360,962,959,957,
361,962,959,957,
362,962,958,960,
363,962,958,960,
364,962,959,960,
365,962,959,960,
366,962,959,960,
367,962,959,960,
368,962,959,960,
369,962,959,960,
370,963,959,960,
371,963,959,960,
372,962,959,960,
373,962,959,960,
374,963,959,960,
375,963,959,960,
376,963,959,960,
377,963,959,960,
378,963,959,960,
379,963,959,960,
380,963,959,960,
381,963,959,960,
382,963,959,960,
383,963,959,960,
384,963,959,960,
385,963,959,961,
386,963,959,961,
387,963,959,961,
388,963,959,961,
389,963,959,961,
390,963,959,961,
391,963,959,961,
392,963,959,961,
393,963,959,961,
394,963,959,961,
395,963,960,961,
396,963,960,961,
397,963,959,961,
398,963,959,961,
399,963,959,961,
400,963,959,961,
401,963,959,961,
402,963,959,961,
403,963,959,961,
404,963,959,961,
405,962,959,961,
406,962,959,961,
407,963,958,961,
408,963,958,961,
409,963,959,961,
410,963,959,961,
411,962,960,961,
412,963,960,961,
413,963,960,961,
414,963,959,961,
415,963,959,961,
416,963,959,961,
417,963,959,961,
418,963,959,961,
419,963,959,961,
420,963,959,961,
421,963,959,961,
422,963,959,961,
423,963,959,961,
424,963,960,961,
425,963,960,961,
426,963,959,960,
427,963,959,960,
428,963,960,960,
429,963,960,960,
430,963,960,961,
431,963,960,961,
432,962,960,961,
433,962,960,961,
434,963,960,961,
435,963,960,961,
436,963,959,961,
437,963,959,961,
438,963,959,961,
439,963,959,961,
440,963,959,961,
441,963,959,961,
442,963,959,961,
443,963,959,961,
444,963,960,961,
445,963,960,961,
446,963,959,961,
447,963,959,961,
448,963,960,961,
449,963,960,961,
450,960,956,957,
451,960,956,957,
452,960,956,958,
453,960,957,958,
454,960,957,958,
455,961,957,959,
456,961,957,959,
457,960,958,959,
458,960,958,959,
459,961,959,959,
460,961,959,959,
461,961,957,959,
462,961,957,959,
463,961,956,958,
464,961,956,958,
465,961,957,959,
466,961,957,959,
467,962,957,959,
468,962,957,959,
469,961,957,959,
470,961,957,959,
471,962,958,959,
472,962,958,959,
473,962,959,959,
474,962,959,959,
475,962,958,959,
476,962,958,959,
477,961,959,959,
478,961,959,959,
479,961,958,958,
480,961,958,958,
481,961,958,959,
482,961,958,959,
483,961,957,959,
484,961,957,959,
485,961,958,959,
486,961,958,959,
487,961,958,959,
488,961,958,959,
489,961,958,959,
490,961,958,959,
491,962,959,958,
492,962,959,958,
493,961,959,959,
494,961,959,959,
495,961,959,958,
496,961,959,958,
497,960,957,958,
498,960,957,958,
499,958,956,954,
500,958,956,954,
501,957,955,954,
502,957,955,954,
503,960,956,956,
504,960,956,956,
505,961,959,960,
506,961,958,959,
507,961,958,959,
508,961,958,959,
509,961,958,959,
510,961,958,959,
511,961,958,959,
512,961,958,959,
513,961,958,959,
514,963,959,960,
515,963,959,960,
516,962,959,960,
517,962,959,960,
518,961,958,959,
519,961,958,959,
520,961,958,959,
521,961,958,959,
522,961,959,959,
523,961,959,959,
524,961,958,960,
525,961,958,960,
526,961,959,959,
527,961,959,959,
528,962,958,959,
529,962,958,959,
530,961,958,959,
531,961,958,959,
532,961,959,960,
533,961,959,960,
534,961,958,960,
535,961,958,960,
536,961,958,960,
537,961,958,960,
538,961,958,960,
539,961,958,960,
540,961,958,959,
541,960,958,959,
542,960,958,959,
543,961,958,960,
544,961,958,960,
545,961,958,960,
546,961,958,960,
547,961,958,960,
548,961,958,960,
549,961,958,960,
550,961,958,960,
551,961,958,960,
552,961,958,960,
553,962,958,959,
554,962,958,959,
555,961,958,959,
556,961,958,959,
557,963,958,959,
558,963,958,959,
559,963,959,960,
560,963,959,960,
561,963,959,960,
562,963,959,960,
563,963,958,959,
564,963,958,959,
565,963,959,959,
566,963,959,959,
567,963,959,959,
568,963,959,959,
569,963,959,961,
570,963,959,961,
571,963,959,959,
572,963,959,959,
573,963,959,961,
574,963,959,961,
575,963,959,960,
576,963,959,960,
577,963,959,960,
578,963,959,960,
579,963,959,960,
580,963,959,960,
581,963,959,960,
582,963,959,961,
583,963,959,961,
584,963,959,959,
585,963,959,959,
586,963,958,959,
587,963,958,959,
588,962,959,959,
589,962,959,959,
590,963,959,960,
591,963,959,960,
592,963,959,961,
593,963,959,961,
594,963,959,961,
595,963,959,961,
596,963,960,961,
597,963,960,961,
598,963,959,960,
599,963,959,960,
600,963,959,960,
601,963,959,960,
602,962,959,959,
603,962,959,959,
604,961,957,959,
605,961,957,959,
606,963,959,961,
607,963,959,961,
608,963,959,960,
609,963,959,960,
610,963,960,961,
611,963,960,961,
612,963,960,961,
613,963,960,961,
614,963,959,960,
615,963,959,960,
616,963,959,961,
617,963,959,961,
618,963,959,960,
619,963,959,960,
620,963,959,961,
621,963,959,961,
622,963,959,961,
623,963,959,961,
624,963,959,961,
625,963,959,961,
626,963,959,961,
627,963,959,961,
628,963,959,961,
629,963,960,961,
630,963,960,961,
631,963,959,961,
632,963,959,961,
633,963,959,961,
634,963,959,961,
635,963,959,961,
636,963,959,961,
637,963,959,961,
638,963,959,961,
639,963,959,961,
640,963,959,961,
641,963,959,961,
642,963,959,961,
643,963,959,961,
644,963,959,961,
645,963,961,961,
646,963,961,961,
647,963,960,961,
648,963,960,961,
649,963,961,962,
650,963,961,962,
651,963,961,961,
652,963,961,961,
653,963,960,962,
654,963,960,962,
655,964,961,961,
656,964,961,961,
657,963,959,961,
658,963,959,961,
659,963,959,961,
660,963,959,961,
661,963,959,961,
662,963,959,961,
663,962,959,961,
664,962,959,961,
665,962,959,961,
666,962,959,961,
667,962,959,961,
668,962,958,961,
669,962,958,961,
670,958,958,961,
671,958,958,961,
672,786,958,961,
673,786,958,961,
674,395,959,961,
675,395,959,961,
676,359,958,960,
677,359,958,960,
678,354,958,961,
679,354,958,961,
680,351,958,961,
681,351,958,961,
682,357,958,960,
683,357,958,960,
684,355,959,960,
685,355,959,960,
686,355,959,960,
687,355,959,960,
688,351,952,960,
689,351,952,960,
690,359,533,959,
691,359,533,959,
692,352,324,959,
693,352,324,959,
694,351,298,959,
695,351,298,959,
696,359,298,959,
697,359,298,959,
698,359,303,959,
699,359,303,959,
700,364,300,959,
701,364,300,959,
702,358,290,959,
703,358,290,959,
704,417,291,957,
705,417,291,957,
706,777,287,952,
707,777,287,952,
708,955,303,915,
709,955,303,915,
710,960,303,399,
711,960,303,399,
712,961,309,383,
713,961,309,383,
714,961,303,387,
715,961,303,387,
716,960,300,370,
717,961,303,376,
718,961,303,376,
719,961,303,376,
720,961,307,367,
721,961,395,376,
722,961,395,376,
723,961,914,381,
724,961,914,381,
725,961,954,376,
726,961,954,376,
727,961,957,382,
728,961,957,382,
729,961,958,381,
730,961,958,381,
731,961,958,380,
732,961,958,380,
733,961,958,374,
734,961,958,374,
735,961,958,378,
736,961,958,378,
737,960,958,374,
738,960,958,374,
739,961,958,478,
740,961,958,478,
741,961,958,948,
742,961,958,948,
743,961,958,955,
744,961,958,955,
745,961,958,959,
746,961,958,959,
747,961,958,959,
748,961,958,959,
749,961,958,959,
750,961,958,959,
751,961,958,960,
752,961,958,960,
753,961,958,960,
754,961,958,960,
755,961,958,960,
756,961,958,960,
757,961,958,960,
758,962,958,960,
759,962,958,960,
760,962,958,960,
