step,gs0,gs1,gs2,
353,961,959,960,
354,962,960,962,
355,962,960,962,
356,963,960,962,
357,963,960,962,
358,963,960,962,
359,963,960,962,
360,964,960,962,
361,964,961,962,
362,964,961,962,
363,963,961,962,
364,963,961,962,
365,964,961,962,
366,964,961,962,
367,963,961,961,
368,963,961,961,
369,964,961,962,
370,964,961,962,
371,963,961,962,
372,963,961,962,
373,963,961,962,
374,963,961,962,
375,964,961,962,
376,964,961,962,
377,962,960,961,
378,962,960,961,
379,963,960,960,
380,963,960,960,
381,963,960,962,
382,963,960,962,
383,963,960,962,
384,963,960,962,
385,963,961,962,
386,963,961,962,
387,964,960,962,
388,964,960,962,
389,963,960,961,
390,963,960,961,
391,962,959,961,
392,962,959,961,
393,962,959,960,
394,962,959,960,
395,962,960,961,
396,962,960,961,
397,963,960,962,
398,962,959,962,
399,962,959,962,
400,962,960,962,
401,962,960,962,
402,963,960,962,
403,963,960,962,
404,962,960,961,
405,962,960,961,
406,963,959,961,
407,963,959,961,
408,963,961,962,
409,963,961,962,
410,963,961,962,
411,963,961,962,
412,964,961,962,
413,964,961,962,
414,963,961,962,
415,963,961,962,
416,962,958,960,
417,962,958,960,
418,955,952,953,
419,955,952,953,
420,948,945,948,
421,948,945,948,
422,951,949,951,
423,951,949,951,
424,960,958,960,
425,960,958,960,
426,963,961,962,
427,963,961,962,
428,964,961,962,
429,964,961,962,
430,962,960,961,
431,962,960,961,
432,963,961,962,
433,963,961,962,
434,964,961,962,
435,964,961,962,
436,964,961,962,
437,964,961,962,
438,963,961,962,
439,964,961,962,
440,964,961,962,
441,964,961,962,
442,964,961,962,
443,963,961,962,
444,963,961,962,
445,964,961,962,
446,964,961,962,
447,964,961,962,
448,964,961,962,
449,964,961,962,
450,964,961,962,
451,964,961,962,
452,964,961,962,
453,964,961,961,
454,964,961,961,
455,963,961,962,
456,963,961,962,
457,963,961,962,
458,963,961,962,
459,964,961,962,
460,964,961,962,
461,963,961,962,
462,963,961,962,
463,963,961,962,
464,963,961,962,
465,964,961,962,
466,964,961,962,
467,964,961,962,
468,964,961,962,
469,964,961,962,
470,964,961,962,
471,964,961,961,
472,964,961,961,
473,963,961,962,
474,963,961,962,
475,963,961,962,
476,963,961,962,
477,963,961,962,
478,963,961,962,
479,964,961,962,
480,964,961,962,
481,963,961,962,
482,963,961,962,
483,964,961,962,
484,964,961,962,
485,963,961,962,
486,963,961,962,
487,963,961,962,
488,964,961,962,
489,964,961,962,
490,963,961,962,
491,963,961,962,
492,964,961,962,
493,964,961,962,
494,964,961,962,
495,964,961,962,
496,963,961,962,
497,963,961,962,
498,964,961,962,
499,964,961,962,
500,964,961,962,
501,964,961,962,
502,962,959,960,
503,962,959,960,
504,961,959,960,
505,961,959,960,
506,962,959,961,
507,962,959,961,
508,963,960,962,
509,963,960,962,
510,952,945,956,
511,952,945,956,
512,564,504,564,
513,564,504,564,
514,338,303,367,
515,338,303,367,
516,348,306,377,
517,348,306,377,
518,351,305,376,
519,348,305,378,
520,348,305,378,
521,351,309,382,
522,351,309,382,
523,344,305,381,
524,344,305,381,
525,346,305,377,
526,346,305,377,
527,348,305,382,
528,348,305,382,
529,353,302,381,
530,353,302,381,
531,353,306,386,
532,353,306,386,
533,348,303,381,
534,348,303,381,
535,399,342,427,
536,399,342,427,
537,956,951,938,
538,956,951,938,
539,962,959,959,
540,962,959,959,
541,964,960,962,
542,964,960,962,
543,964,961,962,
544,964,961,962,
545,964,961,962,
546,964,961,962,
547,963,960,962,
548,963,960,962,
549,963,961,962,
550,963,961,962,
551,963,961,962,
552,963,961,962,
553,963,961,962,
554,963,961,962,
555,964,961,962,
556,964,961,962,
557,964,961,962,
558,964,961,962,
559,964,961,962,
560,964,961,962,
561,964,960,962,
562,964,961,962,
563,964,961,962,
564,963,961,962,
565,963,961,962,
566,963,961,962,
567,963,961,962,
568,963,961,962,
569,963,961,962,
570,964,960,962,
571,964,960,962,
572,964,961,962,
573,964,961,962,
574,963,960,962,
575,963,960,962,
576,959,956,956,
577,959,956,956,
578,947,947,949,
579,947,947,949,
580,938,924,939,
581,938,924,939,
582,946,940,946,
583,946,940,946,
584,954,948,950,
585,954,948,950,
586,961,958,960,
587,961,958,960,
588,963,961,962,
589,963,961,962,
590,964,961,962,
591,964,961,962,
592,962,960,962,
593,962,960,962,
594,963,961,962,
595,963,961,962,
596,964,960,962,
597,964,960,962,
598,964,961,962,
599,964,961,962,
600,963,961,962,
601,963,961,962,
602,963,961,962,
603,964,961,962,
604,964,961,962,
605,964,961,962,
606,964,961,962,
607,963,961,962,
608,963,961,962,
609,964,961,962,
610,964,961,962,
611,963,961,962,
612,963,961,962,
613,963,961,962,
614,963,961,962,
615,964,960,962,
616,964,960,962,
617,964,960,962,
618,964,960,962,
619,963,961,962,
620,963,961,962,
621,964,961,962,
622,964,961,962,
623,963,961,962,
624,963,961,962,
625,963,961,962,
626,963,961,962,
627,962,959,960,
628,962,959,960,
629,962,960,962,
630,962,960,962,
631,963,959,962,
632,963,959,962,
633,964,960,962,
634,964,960,962,
635,962,958,961,
636,962,958,961,
637,963,960,961,
638,963,960,961,
